"Home",166,https://retrogradenews.com/home/
"Texas legislature reconvenes over potential bans or restrictions on THC in the state, potentially slashing DFW’s marijuana economy",104,https://retrogradenews.com/2025/07/21/texas-legislature-reconvenes-over-potential-bans-or-restrictions-on-thc-in-the-state-potentially-slashing-dfws-marijuana-economy/
"The next two weeks will make or break the Texas Rangers",49,https://retrogradenews.com/2025/07/21/the-next-two-weeks-will-make-or-break-the-texas-rangers/
"Issue 07/21/2025",25,https://retrogradenews.com/2025/07/21/issue-07-21-2025/
"Student protesters at spring 2025 graduation face “chokeholds,” arrests",24,https://retrogradenews.com/2025/07/21/student-protesters-at-spring-2025-graduation-face-chokeholds-arrests/
"UTD announces new dean of undergraduate education",17,https://retrogradenews.com/2025/07/21/utd-announces-new-dean-of-undergraduate-education/
"Contributors",14,https://retrogradenews.com/contributors/
"The Lion King: a Disney classic turned Broadway gem",14,https://retrogradenews.com/2025/07/21/the-lion-king-a-disney-classic-turned-broadway-gem/
"SB 2972 restricts speech, expression on campus, requires UTD revise policies",13,https://retrogradenews.com/2025/07/21/sb-2972-restricts-speech-expression-on-campus-requires-utd-revise-policies/
"Student calligrapher certified as master in centuries-old tradition",12,https://retrogradenews.com/2025/07/07/student-calligrapher-certified-as-master-in-centuries-old-tradition/
"Margaret Hunt Hill Bridge protest culminates in arrest, deployment of tear gas, rubber bullets",12,https://retrogradenews.com/2025/07/21/margaret-hunt-hill-bridge-protest-culminates-in-arrest-deployment-of-tear-gas-rubber-bullets/
"The rise of uncertified teachers in public schools puts a generation of students at risk ",11,https://retrogradenews.com/2025/02/17/the-rise-of-uncertified-teachers-in-public-schools-puts-a-generation-of-students-at-risk/
"Mission Statement",11,https://retrogradenews.com/mission-statement/
"Meet Prabhas Moghe, UTD’s next president",11,https://retrogradenews.com/2025/05/23/meet-prabhas-moghe-utds-next-president/
"“F1: The Movie” shows us that motorsport is still a boy’s club",11,https://retrogradenews.com/2025/07/21/f1-the-movie-shows-us-that-motorsport-is-still-a-boys-club/
"Issue 07/07/2025",9,https://retrogradenews.com/2025/07/07/issue-07-07-2025/
"With the threat of funding cuts hanging over UTD’s head, don’t neglect future lawyers",7,https://retrogradenews.com/2025/07/07/with-the-threat-of-funding-cuts-hanging-over-utds-head-dont-neglect-future-lawyers/
"Frequently Asked Questions",7,https://retrogradenews.com/frequently-asked-questions/
"UTD advances plans for transition from Blackboard to Canvas",7,https://retrogradenews.com/2025/04/07/utd-advances-plans-for-transition-from-blackboard-to-canvas/
"Today’s microtrends will become tomorrow’s landfill waste unless our habits change",7,https://retrogradenews.com/2025/07/21/todays-microtrends-will-become-tomorrows-landfill-waste-unless-our-habits-change/
"Comics & Activities 07/21/2025",7,https://retrogradenews.com/2025/07/21/comics-activities-07-21-2025/
"Bohemian artist Cecilia Chiang paints a story of multifaceted joy",6,https://retrogradenews.com/2025/07/07/bohemian-artist-cecilia-chiang-paints-a-story-of-multifaceted-joy/
"UTD’s Comet Rocketry lifts off at international rocket competition",6,https://retrogradenews.com/2025/07/07/utds-comet-rocketry-lifts-off-at-international-rocket-competition/
"Weston Estate captures fans’ hearts during Springapalooza",5,https://retrogradenews.com/2025/05/05/weston-estate-captures-fans-hearts-during-springapalooza/
"As GSA shifts to in-person elections, voter turnout reaches new low",5,https://retrogradenews.com/2025/07/07/as-gsa-shifts-to-in-person-elections-voter-turnout-reaches-new-low/
"Comics & Activities 07/07/2025",5,https://retrogradenews.com/2025/07/07/comics-activities-07-07-2025/
"Apple dragging out the iMessage war harms everyone",5,https://retrogradenews.com/2025/04/21/apple-dragging-out-the-imessage-war-harms-everyone/
"Join",5,https://retrogradenews.com/join/
"What the UT System's drag ban means for UTD",5,https://retrogradenews.com/2025/04/07/what-the-ut-systems-drag-ban-means-for-utd/
"Collin County indicts 14 protesters arrested during May 1 encampment",4,https://retrogradenews.com/2025/04/24/collin-county-indicts-14-protesters-arrested-during-may-1-encampment/
"An open letter to the incoming Student Government President",4,https://retrogradenews.com/2025/04/21/an-open-letter-to-the-incoming-student-government-president/
"Chemotherapy-innovating students score first place at Big Idea Competition",4,https://retrogradenews.com/2025/05/03/chemotherapy-innovating-students-score-first-place-at-big-idea-competition/
"Violence, femicide and punk literature: a discussion with Dahlia de la Cerda",3,https://retrogradenews.com/2024/10/28/violence-femicide-and-punk-literature-a-discussion-with-dahlia-de-la-cerda/
"The improv showcase: an outlandish ride through UTD’s improv world",3,https://retrogradenews.com/2025/05/24/the-improv-showcase-an-outlandish-ride-through-utds-improv-world/
"AAUP issues letter calling on UTD to support international students amid immigration status changes, visa revocations",3,https://retrogradenews.com/2025/04/21/aaup-issues-letter-calling-on-utd-to-support-international-students-amid-immigration-status-changes-visa-revocations/
"Stray Kids makes each fan feel special at sold-out DFW show",3,https://retrogradenews.com/2025/07/07/stray-kids-makes-each-fan-feel-special-at-sold-out-dfw-show/
"Advertising",3,https://retrogradenews.com/advertising/
"Assimilation into American culture will never keep you safe",3,https://retrogradenews.com/2025/05/05/assimilation-into-american-culture-will-never-keep-you-safe/
"Pro-Palestine student activist barred from attending graduation",3,https://retrogradenews.com/2025/05/20/pro-palestine-student-activist-barred-from-attending-graduation/
